Content Area,PVALUE,Biserial,A,B,C,ICC0,ICC1,ICC2,ICC3,ICC4,ICC5,ICC6,ICC7,ICC8,ICC9,ICC10,ICC11,ICC12,ICC13,ICC14,ICC15,ICC16,ICC17,ICC18,ICC19,ICC20,ICC21,ICC22,ICC23,ICC24,ICC25,ICC26,ICC27,ICC28,ICC29,ICC30,ICC31,ICC32,ICC33,ICC34,ICC35,ICC36,ICC37,ICC38,ICC39,ICC40,IIF0,IIF1,IIF2,IIF3,IIF4,IIF5,IIF6,IIF7,IIF8,IIF9,IIF10,IIF11,IIF12,IIF13,IIF14,IIF15,IIF16,IIF17,IIF18,IIF19,IIF20,IIF21,IIF22,IIF23,IIF24,IIF25,IIF26,IIF27,IIF28,IIF29,IIF30,IIF31,IIF32,IIF33,IIF34,IIF35,IIF36,IIF37,IIF38,IIF39,IIF40,
Algebraic Concepts,0.367,0.628,1.5864,0.7885,0.13342,0.1338893535,0.1340345416,0.1342245999,0.1344733657,0.1347989223,0.1352248867,0.1357820769,0.1365106637,0.1374629331,0.1387068112,0.140330324,0.1424471716,0.145203587,0.1487865826,0.1534335395,0.1594428059,0.1671844507,0.1771094855,0.1897546295,0.2057380416,0.2257396073,0.2504579992,0.2805371489,0.316458957,0.3584089707,0.406137436,0.4588551673,0.5152120067,0.573393468,0.6313348517,0.6870050429,0.7386807117,0.785136112,0.8257111059,0.860266738,0.889068972,0.9126478864,0.9316681989,0.9468295682,0.9588005759,0.9681818106,1.38017E-05,2.36316E-05,4.04426E-05,6.91685E-05,0.0001181996,0.000201768,0.0003439338,0.0005851939,0.0009933246,0.0016809189,0.0028332365,0.0047513428,0.0079167384,0.0130838393,0.0214039773,0.0345761401,0.0550019697,0.0858934442,0.1312444614,0.1955457568,0.2831216606,0.397027662,0.5375891772,0.7008743898,0.877622586,1.0532819904,1.2096863357,1.3283895941,1.3948697532,1.402130389,1.3522345634,1.2551788076,1.1257483392,0.9797719783,0.8311095631,0.6900232069,0.5628660571,0.4526300811,0.3598511136,0.2835158015,0.2217939064,7.7405926258
Algebraic Concepts,0.346,0.449,1.3577,0.8901,0.15542,0.1564890574,0.1567661622,0.1571149496,0.1575538784,0.158106111,0.1588006841,0.1596739519,0.1607713594,0.162149602,0.163879233,0.1660477719,0.1687633479,0.1721588724,0.1763966617,0.18167331,0.1882244233,0.196328546,0.2063092329,0.2185337356,0.233406244,0.2513531692,0.2727978222,0.2981224155,0.3276170538,0.361418635,0.3994472544,0.441352757,0.4864874061,0.5339195121,0.5824954903,0.6309451395,0.6780113379,0.722576944,0.7637626792,0.8009796362,0.8339339507,0.8625930502,0.8871290121,0.9078546103,0.9251637616,0.9394829656,4.60079E-05,7.27972E-05,0.0001151034,0.0001818345,0.000286933,0.000452147,0.0007112508,0.0011164101,0.0017476451,0.0027266598,0.0042365902,0.0065493781,0.0100622217,0.0153434979,0.0231860952,0.0346616085,0.0511619481,0.0744060699,0.1063808386,0.1491807233,0.204717091,0.2742901801,0.3580579189,0.4544912384,0.5599616411,0.6686398811,0.7728648081,0.8640447631,0.9339845031,0.9763415967,0.987802649,0.9686166496,0.9223353454,0.8548905979,0.7733439104,0.6846847497,0.5949466734,0.5087404208,0.4291594978,0.3579394655,0.2957430194,5.2036782011
Algebraic Concepts,0.302,0.467,1.1981,0.9804,0.11137,0.1134181632,0.113879541,0.1144444902,0.1151360806,0.1159824303,0.1170177658,0.1182836819,0.1198306273,0.1217196408,0.1240243528,0.126833254,0.1302522104,0.1344071606,0.1394468757,0.1455455722,0.1529050539,0.1617558966,0.1723570075,0.1849926747,0.1999660378,0.2175877967,0.2381590589,0.2619476269,0.2891579019,0.3198959921,0.3541335113,0.391675564,0.4321398997,0.4749543174,0.5193773982,0.5645434574,0.6095271079,0.653417755,0.6953916011,0.734769435,0.771052333,0.8039328755,0.8332846371,0.8591360886,0.8816361712,0.9010180612,0.0001722691,0.000257441,0.0003842458,0.0005726461,0.0008518642,0.0012644322,0.0018718234,0.0027621393,0.0040603652,0.0059416487,0.0086478444,0.0125070802,0.0179552389,0.0255569187,0.0360216443,0.0502090315,0.0691146966,0.0938276377,0.1254504432,0.1649767785,0.2131266191,0.2701486466,0.3356105828,0.4082108296,0.4856562307,0.5646568281,0.6410829977,0.7103072411,0.7677106652,0.8092808374,0.8321821747,0.8351655356,0.8187145655,0.7848963173,0.7369658001,0.6788348201,0.6145333316,0.5477671442,0.4816275819,0.4184593655,0.3598583994,4.3252207442
Algebraic Concepts,0.284,0.305,2.0441,1.3788,0.20945,0.2094562877,0.2094589004,0.2094625989,0.2094678341,0.2094752447,0.2094857345,0.2095005827,0.2095216,0.209551349,0.2095934561,0.2096530527,0.2097373989,0.2098567637,0.210025668,0.2102646355,0.210602657,0.2110806461,0.2117562708,0.2127106698,0.2140577168,0.2159566564,0.2186290499,0.2223809384,0.2276307091,0.2349419401,0.2450577788,0.2589282255,0.2777131358,0.3027322042,0.335322984,0.3765711564,0.4269138701,0.4857017078,0.55091273,0.6192514524,0.6867315169,0.7495608129,0.8049389877,0.8514398785,0.8889231202,0.9181546519,2.8833314E-09,5.7773701E-09,1.1576087E-08,2.319464E-08,4.6473503E-08,9.3113301E-08,1.8655282E-07,3.7373947E-07,7.4869273E-07,1.4996582E-06,3.0034191E-06,6.0137801E-06,1.20379E-05,2.40861E-05,4.81641E-05,9.62307E-05,0.0001920372,0.0003825837,0.000760397,0.0015063053,0.0029700988,0.0058187076,0.011298248,0.0216719235,0.0408903944,0.0754773537,0.1353913083,0.2341895106,0.38727571,0.6068677664,0.8934790616,1.2266920017,1.5614823166,1.8366069726,1.9952617804,2.0079857801,1.8834011497,1.660491494,1.3895887731,1.1147711142,0.8651479908,2.3326807106
Algebraic Concepts,0.314,0.324,0.8096,1.3818,0.16012,0.1680394246,0.1691953342,0.1705178503,0.1720303292,0.1737591967,0.1757342888,0.1779892082,0.1805616934,0.1834939878,0.1868331981,0.190631622,0.1949470221,0.1998428142,0.2053881311,0.2116577148,0.2187315793,0.2266943811,0.2356344234,0.2456422229,0.2568085665,0.2692219994,0.2829657083,0.2981138027,0.3147270484,0.3328481785,0.3524969905,0.3736655233,0.396313693,0.4203658258,0.4457085482,0.4721904602,0.4996239159,0.5277890703,0.5564401281,0.5853134898,0.6141372585,0.6426413969,0.6705677368,0.6976790664,0.7237666368,0.7486556335,0.0008338409,0.0010860258,0.0014123056,0.0018334172,0.0023754221,0.0030708564,0.0039600332,0.0050924731,0.0065284118,0.008340301,0.010614175,0.0134507005,0.0169656754,0.0212896831,0.0265665645,0.032950347,0.0406002818,0.0496737066,0.0603165755,0.0726517022,0.0867650259,0.1026905448,0.1203949154,0.1397630798,0.1605865768,0.1825563708,0.2052620182,0.2281987195,0.2507832278,0.2723787093,0.2923275268,0.3099896998,0.3247836805,0.3362253306,0.3439607995,0.3477895159,0.3476746766,0.3437402618,0.3362554038,0.3256085302,0.3122748058,1.4315065724
Algebraic Concepts,0.347,0.377,0.579,0.7117,0.14416,0.1996194305,0.2049490201,0.2107481673,0.2170498217,0.2238875982,0.2312954371,0.2393071895,0.2479561225,0.2572743422,0.2672921322,0.2780372109,0.2895339162,0.3018023261,0.3148573369,0.3287077201,0.3433551892,0.3587935129,0.3750077149,0.3919734057,0.4096562908,0.4280119016,0.446985585,0.4665127849,0.4865196323,0.5069238495,0.5276359539,0.5485607319,0.5695989358,0.5906491408,0.6116096909,0.6323806536,0.6528657051,0.6729738707,0.692621056,0.7117313183,0.7302378424,0.7480836056,0.7652217301,0.7816155398,0.7972383483,0.8120730159,0.0163150853,0.0189646237,0.0219680106,0.0253543968,0.0291512218,0.0333831132,0.0380706514,0.0432290227,0.0488665989,0.0549834888,0.0615701223,0.0686059369,0.0760582445,0.0838813668,0.092016123,0.1003897576,0.1089163819,0.1174979874,0.1260260658,0.1343838382,0.1424490563,0.1500972991,0.1572056435,0.1636565493,0.169341768,0.1741660647,0.1780505406,0.1809353597,0.1827817137,0.1835729108,0.1833145312,0.1820336578,0.1797772536,0.1766098122,0.1726104483,0.167869621,0.1624856899,0.1565614932,0.1502011159,0.1435069798,0.136577353,1.0828211207
Data Analysis,0.332,0.492,1.3657,0.6992,0.17719,0.1787487257,0.1791551025,0.1796671065,0.1803120049,0.1811239932,0.1821458911,0.1834312149,0.1850466887,0.1870752491,0.189619586,0.1928062224,0.1967900736,0.2017593095,0.2079401706,0.2156011192,0.2250553391,0.2366601252,0.2508111601,0.2679291907,0.2884364051,0.3127202572,0.3410840519,0.3736867,0.4104786534,0.4511462322,0.4950803125,0.5413848684,0.5889340824,0.6364742391,0.6827525716,0.7266459037,0.767262001,0.8039959845,0.8365382216,0.8648425513,0.8890703864,0.9095266284,0.9265995399,0.9407115102,0.9522830682,0.9617094236,8.88768E-05,0.0001408698,0.0002230625,0.0003527823,0.0005570896,0.0008780428,0.0013806179,0.0021644433,0.0033808426,0.0052569611,0.0081287624,0.0124840926,0.019015243,0.0286767778,0.0427381359,0.0628115267,0.0908251794,0.1289037213,0.1791177231,0.2430811695,0.3214147131,0.4131527893,0.5152407628,0.622317323,0.7269714971,0.8205724541,0.8945932358,0.9421395018,0.9592529542,0.9455843885,0.9042408938,0.8409096197,0.7625934254,0.6763567183,0.5883784426,0.5034323386,0.4247589791,0.3542100146,0.2925311931,0.2396789275,0.195106228,5.4663834282
Data Analysis,0.535,0.536,1.1272,0.2073,0.16744,0.1793839375,0.1818629734,0.1848456345,0.1884292835,0.1927278813,0.1978738174,0.2040194716,0.2113382308,0.220024578,0.2302927519,0.2423733595,0.256507233,0.2729358105,0.2918874484,0.3135594089,0.3380958873,0.3655633646,0.3959257084,0.4290225999,0.4645556461,0.502086518,0.5410502621,0.5807845407,0.6205723831,0.6596929624,0.6974729489,0.7333308518,0.7668084794,0.7975866189,0.8254852556,0.8504511972,0.8725373474,0.8918780481,0.9086642126,0.9231208536,0.9354884461,0.9460086072,0.9549139103,0.9624212742,0.9687282158,0.9740112497,0.0034571659,0.0049574699,0.0070774873,0.0100517556,0.0141895629,0.019890053,0.027655047,0.0380956578,0.0519272384,0.0699459577,0.0929799873,0.1218096717,0.1570548598,0.199034144,0.2476096992,0.3020413912,0.3608823954,0.4219523906,0.4824198531,0.5390094324,0.5883241376,0.6272401176,0.6533040849,0.6650517088,0.6621775858,0.6455223764,0.6168887971,0.5787384905,0.5338426905,0.4849567955,0.4345681676,0.3847386428,0.3370385875,0.2925536144,0.2519390854,0.2154988836,0.1832702364,0.1551027218,0.1307252115,0.1097986355,0.0919550571,3.2945173176
Data Analysis,0.272,0.482,1.3082,1.3711,0.10979,0.1102834287,0.1104062387,0.1105595885,0.1107510579,0.1109900996,0.1112884974,0.1116609339,0.1121256924,0.1127055227,0.1134287046,0.1143303505,0.1154539907,0.1168534903,0.1185953459,0.1207614066,0.1234520457,0.1267897819,0.1309232913,0.1360316623,0.1423286049,0.1500661204,0.1595368572,0.171074016,0.1850472556,0.2018526579,0.221894582,0.2455574301,0.2731662685,0.3049372375,0.3409218465,0.38095324,0.4246061776,0.4711839913,0.5197432319,0.5691593322,0.6182259244,0.6657702602,0.7107619462,0.7523944097,0.7901270822,0.8236873281,1.22589E-05,1.90967E-05,2.97371E-05,4.62845E-05,7.19976E-05,0.0001119138,0.0001738023,0.0002696118,0.000417654,0.0006458706,0.0009966672,0.0015339731,0.0023533741,0.0035963482,0.0054697112,0.0082712292,0.0124217404,0.0185027666,0.0272961692,0.0398187649,0.0573401656,0.081367343,0.1135761995,0.1556710044,0.2091591234,0.2750424095,0.3534479737,0.4432483674,0.5417508124,0.6445592678,0.745717968,0.8382125612,0.91482309,0.9692023884,0.9969377025,0.9963062953,0.9685022625,0.9172777447,0.8481320672,0.7673066005,0.6808537762,3.0037667988
Data Analysis,0.331,0.424,0.8652,0.9874,0.1069,0.1177951658,0.1194971684,0.1214606633,0.1237243564,0.1263321932,0.1293339057,0.1327855578,0.1367500696,0.1412976838,0.1465063334,0.1524618511,0.1592579511,0.1669958922,0.1757837214,0.18573498,0.196966748,0.2095969049,0.2237405032,0.2395051885,0.256985668,0.276257324,0.2973691987,0.3203367233,0.345134728,0.3716914033,0.3998839777,0.4295368715,0.4604229721,0.4922684259,0.5247609802,0.5575614744,0.5903176589,0.6226791791,0.6543123883,0.6849136828,0.7142202654,0.742017619,0.7681433986,0.7924878761,0.8149914067,0.8356396037,0.0024112394,0.0031713903,0.0041592839,0.0054374233,0.0070828268,0.0091892423,0.0118691988,0.0152556381,0.019502787,0.0247858528,0.0312990729,0.0392516228,0.0488609172,0.0603429339,0.0738993612,0.0897016154,0.1078721072,0.1284635262,0.1514373667,0.176643401,0.2038022773,0.232493811,0.2621537362,0.2920815498,0.3214614751,0.3493973815,0.3749607514,0.3972486524,0.4154465284,0.4288889724,0.4371109947,0.4398829985,0.437224737,0.4293966005,0.4168699841,0.4002814752,0.3803775144,0.3579567425,0.3338164944,0.3087082279,0.2833045796,2.4030532808
